word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003039200004423037,0.014406899994355626,10.006683800005703,,,,,,,,,232392,001,2025-02-27_17h19.47.087,data_collection,2024.2.4,60.1749526567744,2025-02-27 17h19.51.969402 +0100,
I,1,a,0,0,0,0,0,0,0,10.03219430000172,,,,,10.02314479999768,10.03219430000172,14.003587700004573,14.003616200003307,14.020050099992659,50.00734700000612,50.00738039999851,50.041164199996274,,,,,,,,
