word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0036848001182079315,0.022033600136637688,10.014028599951416,,,,,,,,,,,,,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
I,1,a,0,0,0,0,0,0,0,10.04987969994545,,,,,10.045111800078303,10.04987969994545,12.012451299931854,12.029572400031611,12.071506400126964,16.009063499979675,16.009096400113776,16.025531199993566,52.0128423999995,52.012920800130814,52.05232010013424,60.006191400112584,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
More,2,b,1,1,0,0,1,1,1,60.02278220001608,,,,,60.00635699997656,60.02278220001608,62.00452580000274,62.01169380010106,62.0214104000479,66.0013111999724,66.00133990007453,66.01798889995553,102.00498190009966,102.00501560000703,102.02154069999233,110.01484730001539,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
What,3,c,2,2,0,0,2,2,2,110.03241550014354,,,,,110.01501620002091,110.03241550014354,112.01356930006295,112.02001049998216,112.03012689994648,116.01051960000768,116.01055369991809,116.02680120011792,152.01399490004405,152.0140688000247,152.0303688000422,160.01012480002828,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02517120004632,,,,,160.0104223000817,160.02517120004632,162.02138640009798,162.04467829992063,162.06416970002465,166.00277350004762,166.00280519993976,166.01876200013794,202.00630190013908,202.0063525000587,202.02307310001925,210.01628420013003,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
Help,5,e,4,4,0,0,4,4,4,210.03266589995474,,,,,210.01647430006415,210.03266589995474,212.01455890014768,212.0207869000733,212.03116569994017,216.0115571001079,216.01164199993946,216.02800970012322,252.01533670001663,252.01536440011114,252.03156400006264,260.00856889993884,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
You,6,f,5,5,0,0,5,5,5,260.0251162000932,,,,,260.00870450004004,260.0251162000932,262.006939999992,262.0106224999763,262.02335199993104,266.0034726001322,266.00350380013697,266.0199635999743,302.0072509001475,302.00730399996974,302.02413620008156,310.00079030008055,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0171710001305,,,,,310.00096410000697,310.0171710001305,312.0158015000634,312.02263900008984,312.0324013000354,316.0129816001281,316.01301950006746,316.02894930006005,352.0161534000654,352.01619850005955,352.0328218000941,360.00959990010597,656404,001,2025-03-18_18h16.36.394,data_collection,2024.2.4,60.15062916209548,2025-03-18 18h16.51.816720 +0100,
When,8,h,7,7,0,0,7,7,7,360.0261415001005,,,,,360.00980759994127,360.0261415001005,362.00801260001026,362.01264870003797,362.02447200007737,366.0046196000185,366.004673599964,366.0208930000663,,,,,,,,,,,,
