word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,fixationCross_2.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Stop,10,j,9,9,0,0,9,9,9,460.03148170001805,,,,,460.0176956001669,460.03148170001805,462.01325670001097,462.01799220009707,462.0300899001304,466.0103012002073,466.0103664000053,466.02662880020216,502.0137490001507,502.0137909001205,502.0335739001166,510.00792780006304,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02417220012285,,,,,510.008091900032,510.02417220012285,512.0056954000611,512.0126477000304,512.0267109000124,516.0023227999918,516.002361100167,516.0190829001367,552.0065535001922,552.0066039001103,552.023030700162,560.0037403001916,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0161393000744,,,,,560.0040223000105,560.0161393000744,562.002056500176,562.1248789001256,562.1298972000368,566.0142464002129,566.0142853001598,566.0279751000926,602.017958200071,602.0179921002127,602.0317311000545,610.0110675999895,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0250789001584,,,,,610.0112145000603,610.0250789001584,612.0070952000096,612.0156737000216,612.0237411002163,616.0035761001054,616.0036476000678,616.0219398001209,652.0101491000969,652.0101899001747,652.0240213000216,660.0012661002111,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
In,14,n,13,13,0,0,13,13,13,660.020185300149,,,,,660.0014718000311,660.020185300149,662.0033875000663,662.0086245001294,662.0200136001222,666.0125913000666,666.012623900082,666.0324999000877,702.0161646001507,702.0162028002087,702.0351602002047,710.0095795001835,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0265820000786,,,,,710.009731200058,710.0265820000786,712.0108567001298,712.0170345001388,712.0245616000611,716.0074569000863,716.0074935001321,716.0212222000118,752.0083699000534,752.0084119001403,752.0283343000337,760.002047700109,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
No,16,p,15,15,0,0,15,15,15,760.018513899995,,,,,760.0022003001068,760.018513899995,762.002772100037,762.0087795001455,762.0168798000086,766.0137467000168,766.0137857000809,766.032607300207,802.0005367000122,802.0005721000489,802.0198953000363,810.0134210002143,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Put,17,q,16,16,0,0,16,16,16,810.0273669001181,,,,,810.0136001000647,810.0273669001181,812.0090773000848,812.0142233001534,812.0258194000926,816.0086153000593,816.0086511000991,816.0224256000947,852.0097890000325,852.0098275002092,852.0289049001876,860.0029767001979,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Why,18,r,17,17,0,0,17,17,17,860.019558200147,,,,,860.0031303002033,860.019558200147,862.0022936000023,862.0065132000018,862.0205986001529,866.0152013001498,866.0152503000572,866.0340128000826,902.0023976000957,902.0024394001812,902.0208014000673,910.0119037001859,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Get,19,s,18,18,0,0,18,18,18,910.0283995000646,,,,,910.0120843001641,910.0283995000646,912.0103767002001,912.0146906999871,912.0303204001393,916.010012099985,916.0100506001618,916.0235309000127,952.0109491001349,952.0109868000727,952.027139000129,960.0042871001642,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Come,20,t,19,19,0,0,19,19,19,960.0208095000125,,,,,960.0044551000465,960.0208095000125,962.0025520999916,962.0061794000212,962.0192034000065,966.0158497001976,966.0158886001445,966.0355829000473,1002.0029994000215,1002.0030402000993,1002.0229957001284,1010.0164408001583,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
