word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,fixationCross_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0037774001248180866,0.024343800032511353,10.016166999936104,,,,,,,,,,,,,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
I,1,a,0,0,0,0,0,0,0,10.03266720008105,,,,,10.02436999999918,10.03266720008105,12.014298400143161,12.01974630006589,12.03079740004614,16.01131090009585,16.011344600003213,16.030476399930194,52.01777349994518,52.017807099968195,52.05976249999367,60.009655999951065,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
More,2,b,1,1,0,0,1,1,1,60.027532800100744,,,,,60.00979720009491,60.027532800100744,62.00653290003538,62.01434039999731,62.022995200008154,66.00312020001002,66.00316060008481,66.02263949997723,102.010228500003,102.010282299947,102.0238423999399,110.00358090014197,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
What,3,c,2,2,0,0,2,2,2,110.01684370008297,,,,,110.00379130011424,110.01684370008297,112.00268099992536,112.00837039994076,112.01536500011571,116.01189410011284,116.01193029992282,116.02836310002021,152.01560589997098,152.01569469994865,152.03689370001666,160.00938470009714,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02907410007901,,,,,160.00956499995664,160.02907410007901,162.007918599993,162.01581140002236,162.0275906000752,166.00450580008328,166.00455270009115,166.02082500001416,202.00809650006704,202.00817229994573,202.02512890007347,210.0014154999517,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
Help,5,e,4,4,0,0,4,4,4,210.0203993001487,,,,,210.00157570000738,210.0203993001487,212.00329430005513,212.00700440001674,212.01632579998113,216.01340629998595,216.01343920012005,216.02971319993958,252.0174625001382,252.01751050003804,252.0364234999288,260.010271999985,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
You,6,f,5,5,0,0,5,5,5,260.02705619996414,,,,,260.0104537999723,260.02705619996414,262.0119558000006,262.01761270011775,262.0253640001174,266.0086109000258,266.00865139998496,266.0221806000918,302.00923230010085,302.0092716999352,302.02560449996963,310.0031030999962,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
Want,7,g,6,6,0,0,6,6,6,310.01918910001405,,,,,310.00332190003246,310.01918910001405,312.0036564001348,312.00836089998484,312.01741480012424,316.01517240004614,316.01521380012855,316.034149199957,352.00216819997877,352.0022021001205,352.01863880013116,360.0116878999397,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
When,8,h,7,7,0,0,7,7,7,360.02824630006216,,,,,360.0118404000532,360.02824630006216,362.0099953999743,362.0181241000537,362.02949129999615,366.0068556999322,366.00689700013027,366.02326119993813,402.01070470013656,402.01074549998157,402.02697000000626,410.003873599926,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
On,9,i,8,8,0,0,8,8,8,410.02048150007613,,,,,410.0040353999939,410.02048150007613,412.0028363999445,412.00922779995017,412.02291300008073,416.0199408000335,416.0199991001282,416.0324314001482,452.0057115999516,452.0057590000797,452.01911689992994,460.01288129994646,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.029334400082,,,,,460.0130876000039,460.029334400082,462.01123189995997,462.01732390001416,462.0278105000034,466.0077436999418,466.0077845000196,466.0242815001402,502.0147049999796,502.01475380011834,502.0281052000355,510.0078924000263,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.0215962000657,,,,,510.00805660011247,510.0215962000657,512.0034330999479,512.008881200105,512.0231993999332,516.0004865999799,516.0005227001384,516.0195724000223,552.0066593000665,552.0067009001505,552.0205636001192,560.0006059000734,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0141450001393,,,,,560.0008034999482,560.0141450001393,561.9988500000909,562.0047905999236,562.0130471999291,566.0094016999938,566.0094513001386,566.0284969001077,602.0127785999794,602.0128190000542,602.0299305999652,610.006822100142,562.0130471999291,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0232003999408,,,,,610.0070346000139,610.0232003999408,612.0049141999334,612.1276783000212,612.131390399998,616.0017699999735,616.0018071001396,616.0181402999442,652.0068705999292,652.0069093999919,652.0245747999288,660.0159308000002,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
In,14,n,13,13,0,0,13,13,13,660.0345549001358,,,,,660.0161552999634,660.0345549001358,662.0168475999963,662.02473750012,662.030464499956,666.0113001000136,666.0113395000808,666.0299825000111,702.014217399992,702.0142600000836,702.03078130004,710.0075966001023,,749692,001,2025-03-12_15h26.22.158,data_collection,2024.2.4,None,2025-03-12 15h26.29.703961 +0100,
