word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0033327999990433455,0.021093200004543178,10.013260799998534,,,,,,,,,,010371,001,2025-02-27_17h00.41.420,data_collection,2024.2.4,60.038604819805236,2025-02-27 17h00.48.919080 +0100,
I,1,a,0,0,0,0,0,0,0,10.039753799996106,,,,,10.026178800006164,10.039753799996106,14.009907800005749,14.009936200003722,14.026477399995201,50.01381289999699,50.013840500003425,50.04864199999429,58.00734199999715,010371,001,2025-02-27_17h00.41.420,data_collection,2024.2.4,60.038604819805236,2025-02-27 17h00.48.919080 +0100,
More,2,b,1,1,0,0,1,1,1,58.02375310000207,,,,,58.0110893999954,58.02375310000207,62.00385819999792,62.00388699999894,62.02032280000276,98.0076318000065,98.00771520000126,98.02404970000498,106.00093870000273,010371,001,2025-02-27_17h00.41.420,data_collection,2024.2.4,60.038604819805236,2025-02-27 17h00.48.919080 +0100,
What,3,c,2,2,0,0,2,2,2,106.01748470000166,,,,,106.00819029999548,106.01748470000166,,,,,,,,,,,,,,,
