word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003507400004309602,0.02485560000059195,10.001825300001656,,,,,,,,,,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
I,1,a,0,0,0,0,0,0,0,10.042879500004346,,,,,10.028148100012913,10.042879500004346,14.014180900005158,14.014244400008465,14.031894700005068,50.00194960000226,50.00199100001191,50.067267800011905,58.01179220000631,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
More,2,b,1,1,0,0,1,1,1,58.029850100007025,,,,,58.01960610000242,58.029850100007025,62.00764210001216,62.00768640000024,62.02753260001191,98.01145050000923,98.011491199999,98.03060430000187,106.00697600000422,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
What,3,c,2,2,0,0,2,2,2,106.02327160000277,,,,,106.01510850001068,106.02327160000277,110.00219290000678,110.0022808000067,110.02084680000553,146.0087693000096,146.00886130001163,146.02280859999883,154.01636629999848,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
Who,4,d,3,3,0,0,3,3,3,154.0321927000041,,,,,154.0234691000078,154.0321927000041,158.01324340001156,158.01330620000954,158.0288986000087,194.0163190000021,194.01635460001125,194.0357828999986,202.0100237000006,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
Help,5,e,4,4,0,0,4,4,4,202.02570840000408,,,,,202.01581830000214,202.02570840000408,206.0063863000105,206.0064216000028,206.02286890000687,242.01015349999943,242.0101876000117,242.02595629999996,250.00393660001282,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
You,6,f,5,5,0,0,5,5,5,250.01947389999987,,,,,250.00756310000725,250.01947389999987,254.00334140000632,254.0033792000031,254.01665960000537,290.00420550000854,290.00426100000914,290.01985029999923,298.0135048000084,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
Want,7,g,6,6,0,0,6,6,6,298.03104470000835,,,,,298.0199954999989,298.03104470000835,302.00995690000127,302.0100073000067,302.0280089000007,338.0140970000066,338.01413980001234,338.03128819999984,346.0074539000052,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
When,8,h,7,7,0,0,7,7,7,346.024845500011,,,,,346.01128780000727,346.024845500011,350.0038964999985,350.0039448000025,350.02299610000046,386.00864730001194,386.0086886000063,386.02534430001106,394.0019606999995,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
On,9,i,8,8,0,0,8,8,8,394.01992790000804,,,,,394.0089023000037,394.01992790000804,398.0172620000085,398.0173012000014,398.03145270000095,434.0021553000115,434.0021929000068,434.01923440000974,442.0132612000016,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
Stop,10,j,9,9,0,0,9,9,9,442.03143870001077,,,,,442.0247371000005,442.03143870001077,446.0098590999987,446.0099067000119,446.0289800000028,482.013406500002,482.01344809999864,482.02915190000203,490.006838900008,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
Yes,11,k,10,10,0,0,10,10,10,490.02243180001096,,,,,490.01064060001227,490.02243180001096,494.00329480000073,494.0033331000013,494.0190411000076,530.0072301000037,530.0072713000118,530.0258976000041,538.0014068000019,361161,001,2025-02-27_18h06.45.241,data_collection,2024.2.4,60.305738027884026,2025-02-27 18h06.51.545328 +0100,
