word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.004169300198554993,0.016967599978670478,10.005552700022236,,,,,,,,,,,,,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
I,1,a,0,0,0,0,0,0,0,10.019858200103045,,,,,10.011539899976924,10.019858200103045,12.001658800058067,12.011025600135326,12.023324600188062,16.018357600085437,16.018390099983662,16.033888000063598,52.00438790000044,52.00442300015129,52.04441660013981,60.01444480009377,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
More,2,b,1,1,0,0,1,1,1,60.02852200018242,,,,,60.01458750013262,60.02852200018242,62.010511100059375,62.0149795000907,62.02715239999816,66.00979220005684,66.00985729997046,66.02372430008836,102.01101730018854,102.01105249999091,102.03000969998538,110.00656960019842,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
What,3,c,2,2,0,0,2,2,2,110.02412230009213,,,,,110.00685830018483,110.02412230009213,112.00296259997413,112.00780900008976,112.02183570014313,116.01885049999692,116.01888830005191,116.03270109998994,152.00564390001819,152.00568740000017,152.01981530012563,160.01334820012562,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Who,4,d,3,3,0,0,3,3,3,160.0298061000649,,,,,160.01350800017826,160.0298061000649,162.01189650013112,162.01631029997952,162.0285200001672,166.00867840019055,166.00871299998835,166.02491520019248,202.0124709000811,202.01250030007213,202.03169700014405,210.00575560005382,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02301170001738,,,,,210.00590230012313,210.02301170001738,212.00411850004457,212.00983410002664,212.02056140010245,216.0030835000798,216.00314240017906,216.01707469997928,252.00446010008454,252.00451420014724,252.02102120011114,260.01449760003015,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
You,6,f,5,5,0,0,5,5,5,260.0335431001149,,,,,260.01471500005573,260.0335431001149,262.0160189999733,262.02145630004816,262.0296547000762,266.01182010001503,266.0118633999955,266.0260171999689,302.01320839999244,302.01324770017527,302.0327559001744,310.0064436001703,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Want,7,g,6,6,0,0,6,6,6,310.02307470003143,,,,,310.00663880002685,310.02307470003143,312.00495270011015,312.0160134001635,312.0219346000813,316.0017640001606,316.00182990008034,316.0182948000729,352.00579460011795,352.0058401999995,352.02195279998705,360.018048300175,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
When,8,h,7,7,0,0,7,7,7,360.03197180014104,,,,,360.0181927999947,360.03197180014104,362.0139195001684,362.019895600155,362.03042950015515,366.0112852000166,366.01132529997267,366.0295727001503,402.0142069000285,402.0142398001626,402.03072310006246,410.00752810016274,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
On,9,i,8,8,0,0,8,8,8,410.0241570000071,,,,,410.00769670004956,410.0241570000071,412.0085181000177,412.0144408000633,412.0227302000858,416.00282800011337,416.002866800176,416.0194211001508,452.00914480001666,452.00919970008545,452.0232443001587,460.0165836000815,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.0333149000071,,,,,460.016781500075,460.0333149000071,462.0149221001193,462.01920130010694,462.0345910000615,466.01209850003943,466.0121558001265,466.0307240001857,502.00196700007655,502.0020277001895,502.01564190001227,510.01077870000154,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02857620012946,,,,,510.0109910001047,510.02857620012946,512.0075970999897,512.013660200173,512.0269014001824,516.0044288001955,516.00446870015,516.0208232000005,552.0082686000969,552.0083894999698,552.0270122000948,560.004453800153,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0179646001197,,,,,560.0047734000254,560.0179646001197,562.0164799001068,562.1365151000209,562.1410408001393,566.0156994001009,566.0157477001194,566.0297113000415,602.003774800105,602.0038232000079,602.0200402999762,610.0101448001806,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0265734000131,,,,,610.0103255000431,610.0265734000131,612.012571600033,612.0167523999698,612.0251256001648,616.0058248001151,616.0058613000438,616.021599000087,652.0088552001398,652.0088979001157,652.0278897001408,660.0048554001842,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
In,14,n,13,13,0,0,13,13,13,660.01881160005,,,,,660.0050234000664,660.01881160005,662.003292000154,662.0085406000726,662.0173371001147,666.0145159000531,666.0145485000685,666.033206900116,702.001770599978,702.0018093001563,702.0213965000585,710.0139353000559,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0279091000557,,,,,710.014100200031,710.0279091000557,712.0106844000984,712.0183370001614,712.0287907000165,716.0064986001235,716.0065382001922,716.0257403000724,752.010174300056,752.0102142000105,752.0270812001545,760.0036526001059,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
No,16,p,15,15,0,0,15,15,15,760.0200164001435,,,,,760.003872100031,760.0200164001435,762.0021059000865,762.008432000177,762.0188217000104,766.0158034001943,766.0158575000241,766.0319633001927,802.0024965000339,802.002545400057,802.0217205001973,810.0126096999738,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Put,17,q,16,16,0,0,16,16,16,810.0317105001304,,,,,810.0127609001938,810.0317105001304,812.0111389001831,812.0174907001201,812.0276681000832,816.007685800083,816.0077313000802,816.0243894001469,852.0112230000086,852.0112553001381,852.02775200014,860.0070529000368,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
Why,18,r,17,17,0,0,17,17,17,860.021325699985,,,,,860.0072222000454,860.021325699985,862.0055704000406,862.0094949000049,862.0192766000982,866.0029001000803,866.0029349999968,866.0187431999948,902.0036643000785,902.0036961000878,902.0215106999967,910.0162627000827,632405,001,2025-03-14_10h47.21.501,data_collection,2024.2.4,None,2025-03-14 10h47.30.835274 +0100,
