53.0337 	EXP 	fixationCross: autoDraw = False
53.0337 	EXP 	wordDisplayText: height = 0.05
53.0337 	EXP 	wordDisplayText: height = 0.05
53.0337 	EXP 	wordDisplayText: height = 0.05
53.0337 	EXP 	wordDisplayText: text = 'When'
54.0137 	EXP 	wordDisplayText: autoDraw = True
58.0277 	EXP 	wordDisplayText: autoDraw = False
58.0277 	EXP 	fixationCross: autoDraw = True
64.0057 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'word': 'You', 'marker': 6, 'keybind': 'f', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
64.0182 	EXP 	fixationCross: autoDraw = False
64.0182 	EXP 	wordDisplayText: height = 0.05
64.0182 	EXP 	wordDisplayText: height = 0.05
64.0182 	EXP 	wordDisplayText: height = 0.05
64.0182 	EXP 	wordDisplayText: text = 'Where'
65.0039 	EXP 	wordDisplayText: autoDraw = True
69.0026 	EXP 	wordDisplayText: autoDraw = False
69.0026 	EXP 	wordDisplayText: autoDraw = False
69.0026 	EXP 	fixationCross: autoDraw = True
74.9933 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'word': 'Want', 'marker': 7, 'keybind': 'g', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
75.0142 	EXP 	fixationCross: autoDraw = False
75.0142 	EXP 	fixationCross: autoDraw = False
75.0142 	EXP 	wordDisplayText: height = 0.05
75.0142 	EXP 	wordDisplayText: height = 0.05
75.0142 	EXP 	wordDisplayText: height = 0.05
75.0142 	EXP 	wordDisplayText: text = 'No'
76.0083 	EXP 	wordDisplayText: autoDraw = True
80.0278 	EXP 	wordDisplayText: autoDraw = False
80.0278 	EXP 	fixationCross: autoDraw = True
86.0010 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'word': 'When', 'marker': 8, 'keybind': 'h', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
86.0182 	EXP 	fixationCross: autoDraw = False
86.0182 	EXP 	wordDisplayText: height = 0.05
86.0182 	EXP 	wordDisplayText: height = 0.05
86.0182 	EXP 	wordDisplayText: height = 0.05
86.0182 	EXP 	wordDisplayText: text = 'Give'
86.9993 	EXP 	wordDisplayText: autoDraw = True
91.0085 	EXP 	wordDisplayText: autoDraw = False
91.0085 	EXP 	wordDisplayText: autoDraw = False
91.0085 	EXP 	fixationCross: autoDraw = True
96.9942 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'word': 'On', 'marker': 9, 'keybind': 'i', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
97.0087 	EXP 	fixationCross: autoDraw = False
97.0087 	EXP 	fixationCross: autoDraw = False
97.0087 	EXP 	wordDisplayText: height = 0.05
97.0087 	EXP 	wordDisplayText: height = 0.05
97.0087 	EXP 	wordDisplayText: height = 0.05
97.0087 	EXP 	wordDisplayText: text = 'You'
98.0072 	EXP 	wordDisplayText: autoDraw = True
102.0237 	EXP 	wordDisplayText: autoDraw = False
102.0237 	EXP 	fixationCross: autoDraw = True
108.0164 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'word': 'Stop', 'marker': 10, 'keybind': 'j', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
108.0363 	EXP 	fixationCross: autoDraw = False
108.0363 	EXP 	wordDisplayText: height = 0.05
108.0363 	EXP 	wordDisplayText: height = 0.05
108.0363 	EXP 	wordDisplayText: height = 0.05
108.0363 	EXP 	wordDisplayText: text = 'Put'
109.0065 	EXP 	wordDisplayText: autoDraw = True
113.0125 	EXP 	wordDisplayText: autoDraw = False
113.0125 	EXP 	wordDisplayText: autoDraw = False
113.0125 	EXP 	fixationCross: autoDraw = True
119.0162 	EXP 	New trial (rep=0, index=10): <Trial 10 (10 in rep 0) data={'word': 'Yes', 'marker': 11, 'keybind': 'k', 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 0}>
119.0375 	EXP 	fixationCross: autoDraw = False
119.0375 	EXP 	wordDisplayText: height = 0.05
119.0375 	EXP 	wordDisplayText: height = 0.05
119.0375 	EXP 	wordDisplayText: height = 0.05
119.0375 	EXP 	wordDisplayText: text = 'In'
120.0053 	EXP 	wordDisplayText: autoDraw = True
124.0021 	EXP 	wordDisplayText: autoDraw = False
124.0021 	EXP 	wordDisplayText: autoDraw = False
124.0021 	EXP 	fixationCross: autoDraw = True
130.0052 	EXP 	New trial (rep=0, index=11): <Trial 11 (11 in rep 0) data={'word': 'Do', 'marker': 12, 'keybind': 'l', 'thisN': 11, 'thisTrialN': 11, 'thisRepN': 0}>
130.0168 	EXP 	fixationCross: autoDraw = False
130.0168 	EXP 	fixationCross: autoDraw = False
