word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0038799999747425318,0.021817100001499057,10.0138918000157,,,,,,,,,,686073,001,2025-03-04_17h05.31.470,data_collection,2024.2.4,60.06503842237154,2025-03-04 17h05.39.577151 +0100,
I,1,a,0,0,0,0,0,0,0,10.03545349999331,,,,,10.025465100014117,10.03545349999331,14.010557000001427,14.010583899973426,14.027165899984539,50.01427569997031,50.01430320000509,50.04795149998972,58.007681699993555,686073,001,2025-03-04_17h05.31.470,data_collection,2024.2.4,60.06503842237154,2025-03-04 17h05.39.577151 +0100,
More,2,b,1,1,0,0,1,1,1,58.02437880000798,,,,,58.013687299971934,58.02437880000798,,,,,,,,,,,,,,,
