word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,wordDisplayText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Stop,10,j,9,9,0,0,9,9,9,460.0175225001294,,,,,460.0036272001453,460.0175225001294,462.0158874001354,462.023344400106,462.03423200012185,466.01289070001803,466.01294289994985,466.02907190006226,502.0159915999975,502.0160342999734,502.0358788999729,510.01224750000983,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02946240012534,,,,,510.0124145001173,510.02946240012534,512.0105973000173,512.0184311999474,512.0288686000276,516.0081762999762,516.0082130001392,516.0217661000788,552.0091222999617,552.0091796999332,552.029658399988,560.0016648999881,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0190696001519,,,,,560.0019066999666,560.0190696001519,562.0038320999593,562.0075846000109,562.0169089001138,566.0009171999991,566.0009620999917,566.0138807999901,602.0006889000069,602.0007410000544,602.0200040000491,610.0111257000826,566.0138807999901,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0276071999688,,,,,610.0113181001507,610.0276071999688,612.0098475001287,612.144466200145,612.1484741000459,616.0093650999479,616.0094020001125,616.022926799953,652.010099499952,652.0101387000177,652.0259800001513,660.0036437001545,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
In,14,n,13,13,0,0,13,13,13,660.0199500999879,,,,,660.0038167999592,660.0199500999879,662.0038648000918,662.0104016000405,662.0208487000782,666.015103999991,666.0151422999334,666.0307702000719,702.0020514000207,702.0020856000483,702.0218428000808,710.012175100157,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0287906001322,,,,,710.0123674001079,710.0287906001322,712.0108410001267,712.0163964999374,712.0275646999944,716.0109230999369,716.0109618001152,716.023766099941,752.013585699955,752.0136249000207,752.0284949000925,760.0068737999536,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
No,16,p,15,15,0,0,15,15,15,760.0222891001031,,,,,760.0070579000749,760.0222891001031,762.0038073000032,762.0097435000353,762.0191329000518,766.0153864999302,766.0154224999715,766.0370255000889,802.0059585000854,802.0060044000857,802.0198926001322,810.0155442999676,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Put,17,q,16,16,0,0,16,16,16,810.0323423999362,,,,,810.0157210000325,810.0323423999362,812.0150681999512,812.0232418000232,812.0288893999532,816.0087341000326,816.0087745001074,816.0260867001489,852.0156169999391,852.0156549999956,852.02871650015,860.0055852001533,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Why,18,r,17,17,0,0,17,17,17,860.0214877000544,,,,,860.0057800000068,860.0214877000544,862.0039663000498,862.0076640001498,862.0211618000176,866.0009936001152,866.0010301000439,866.0180347999558,902.0049016999546,902.004936600104,902.0241179000586,910.016800200101,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Get,19,s,18,18,0,0,18,18,18,910.0336071001366,,,,,910.0169653999619,910.0336071001366,912.0129003999755,912.0179268999491,912.0315674000885,916.0089942000341,916.0090390001424,916.0297632000875,952.0160193999764,952.0160587001592,952.0302246001083,960.0091341999359,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Come,20,t,19,19,0,0,19,19,19,960.0236675001215,,,,,960.0092871000525,960.0236675001215,962.0057850000449,962.0108911001589,962.0247555000242,966.0020328999963,966.0020751000848,966.0185104999691,1002.0086640000809,1002.0087198000401,1002.0223604999483,1010.015383400023,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
