word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.01068690000101924,0.027909299999009818,10.006330800009891,,,,,,365914,001,2025-02-26_16h00.50.689,data_collection,2024.2.4,59.95426688945179,2025-02-26 16h00.57.797112 +0100,
I,1,a,0,0,0,0,0,0,0,10.025675000011688,,,,,10.019860900007188,10.025675000011688,14.003611699998146,14.003648699988844,14.022020500007784,,,,,,,,
