word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.005060599651187658,0.021715199574828148,10.015989099629223,,,,,,,,,,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
I,1,a,0,0,0,0,0,0,0,10.042258499655873,,,,,10.032539099920541,10.042258499655873,14.013048199936748,14.013095199596137,14.025924199726433,20.007904700003564,20.007958399597555,20.008565799798816,,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
More,2,b,1,1,0,0,1,1,1,20.03301729960367,,,,,20.02734319958836,21.007725599687546,25.002714099828154,25.00278399977833,25.021142499987036,31.016883199568838,31.016936499625444,31.017362899612635,,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
What,3,c,2,2,0,0,2,2,2,31.033897399902344,,,,,31.025029599666595,32.014541199896485,36.014015399850905,36.01410889998078,36.02875639963895,42.00593389989808,42.00599719956517,42.006531899794936,,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
Who,4,d,3,3,0,0,3,3,3,42.0200698999688,,,,,42.01226909970865,43.00327209988609,46.999587500002235,46.99961549974978,47.020191399846226,53.016909499652684,53.01700499979779,53.01789129991084,47.020191399846226,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
Help,5,e,4,4,0,0,4,4,4,53.0337241999805,,,,,53.023002999834716,54.013724899850786,58.012912599835545,58.01296009961516,58.027693999931216,64.00496169971302,64.0049958997406,64.00556889967993,,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
You,6,f,5,5,0,0,5,5,5,64.01821649959311,,,,,64.00992069998756,65.00385229988024,68.98758449964225,68.98763139965013,69.00260259956121,74.99296379974112,74.99298729980364,74.99321749992669,69.00260259956121,75.01424149982631,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
Want,7,g,6,6,0,0,6,6,6,75.01424149982631,,,,,74.9996606996283,76.00831599999219,80.0048579997383,80.00489729968831,80.02775419969112,86.00041759992018,86.00046309968457,86.00095909973606,,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
When,8,h,7,7,0,0,7,7,7,86.01816999958828,,,,,86.00789759960026,86.99926329962909,90.98893789993599,90.98896839981899,91.00851249974221,96.99391929991543,96.99394659977406,96.99416149966419,91.00851249974221,97.00873159989715,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
On,9,i,8,8,0,0,8,8,8,97.00873159989715,,,,,97.00107659958303,98.00720269978046,102.00377899967134,102.0038272999227,102.02367979986593,108.01583049958572,108.01588209997863,108.01633599959314,,,571154,001,2025-02-20_14h55.31.508,data_collection,2024.2.4,None,2025-02-20 14h55.47.727515 +0100,
