word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.002181500196456909,0.014465400017797947,10.001193300355226,,,,,,,,,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
I,1,a,0,0,0,0,0,0,0,10.01798680005595,,,,,10.014380600303411,10.01798680005595,14.014571400359273,14.014650600031018,14.03082810016349,20.009554100222886,20.00959420017898,20.010143199935555,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
More,2,b,1,1,0,0,1,1,1,20.035740800201893,,,,,20.026786100119352,21.008697000332177,25.00542990025133,25.00546790007502,25.02180440025404,31.00043120002374,31.000494100153446,31.000949200242758,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
What,3,c,2,2,0,0,2,2,2,31.016654500272125,,,,,31.005811100360006,32.01592770032585,36.01300280028954,36.013065699953586,36.0292212003842,42.00801880005747,42.00809819996357,42.008712800219655,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
Who,4,d,3,3,0,0,3,3,3,42.03040060028434,,,,,42.02701790025458,43.00700690038502,47.00394990015775,47.00399150000885,47.020201000384986,53.01564839994535,53.01568920025602,53.016424200031906,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
Help,5,e,4,4,0,0,4,4,4,53.03196870023385,,,,,53.02559890039265,54.01446139998734,58.011536200065166,58.01159950019792,58.02793280035257,64.00655990000814,64.00661770021543,64.00728040002286,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
You,6,f,5,5,0,0,5,5,5,64.03690280020237,,,,,64.03476700000465,65.00573520036414,68.99152859998867,68.99181250017136,69.0051277000457,75.00341230025515,75.00369139993563,75.00589210027829,69.0051277000457,75.03493760013953,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
Want,7,g,6,6,0,0,6,6,6,75.03493760013953,,,,,75.03020660020411,76.01599640026689,80.01026890007779,80.01032750029117,80.02665690006688,86.00734130013734,86.00740190036595,86.00786929996684,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
When,8,h,7,7,0,0,7,7,7,86.04417250026017,,,,,86.03375030029565,87.00429380033165,91.00113370036706,91.0011884002015,91.01854069996625,97.01304440014064,97.01309620030224,97.01369770010933,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
On,9,i,8,8,0,0,8,8,8,97.03123449999839,,,,,97.01996630011126,98.01202040025964,102.0085611003451,102.00862070033327,102.02512410003692,108.0038161999546,108.00387270003557,108.0045368000865,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
Stop,10,j,9,9,0,0,9,9,9,108.02009790018201,,,,,108.01193490019068,109.0026980000548,113.00018800003454,113.00024430034682,113.01605810038745,119.01127040013671,119.01134500000626,119.01195880025625,113.01605810038745,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
Yes,11,k,10,10,0,0,10,10,10,119.03714100038633,,,,,119.03515550028533,120.01038110023364,124.00755950016901,124.00761570036411,124.02389990026131,130.00256930012256,130.0026432001032,130.00318470038474,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
Do,12,l,11,11,0,0,11,11,11,130.02210470009595,,,,,130.01747580012307,131.00137840025127,134.9989277003333,134.9990278002806,135.01473290007561,141.0098793003708,141.00996730010957,141.01049170037732,135.01473290007561,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
Where,13,m,12,12,0,0,12,12,12,141.02645700005814,,,,,141.017687600106,142.0089476001449,146.00590660003945,146.00595030002296,146.0223000003025,152.00091900024563,152.0009579001926,152.00156400026754,,,383532,001,2025-02-20_14h12.56.853,data_collection,2024.2.4,59.91500458295383,2025-02-20 14h13.04.461934 +0100,
