word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,text.stopped,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0028703000000405154,0.008951700000011442,10.054511200000093,10.000352500000076,,,,,,,,,833573,001,2025-02-26_18h27.13.124,data_collection,2024.2.4,60.02537873014219,2025-02-26 18h27.18.558571 +0100,
I,1,a,0,0,0,0,0,0,0,10.054511200000093,,,,,,10.012660900000014,10.054511200000093,14.013142100000096,14.013178100000005,14.02976440000009,50.01697080000008,50.017005400000016,50.01740390000009,833573,001,2025-02-26_18h27.13.124,data_collection,2024.2.4,60.02537873014219,2025-02-26 18h27.18.558571 +0100,
