word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0031849000370129943,0.020627300022169948,10.01112020004075,,,,,,,,,,,,,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
I,1,a,0,0,0,0,0,0,0,10.03021420002915,,,,,10.023256600019522,10.03021420002915,12.008361999993213,12.014498500037007,12.027779199997894,16.00501650001388,16.00506170000881,16.019855199963786,52.00675060006324,52.00679760007188,52.04985069995746,60.01748509996105,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
More,2,b,1,1,0,0,1,1,1,60.036547300056554,,,,,60.017749799997546,60.036547300056554,62.015761199989356,62.02201089996379,62.03542850003578,66.01151310000569,66.01158180006314,66.02867010002956,102.01932740001939,102.01939769997261,102.03315430006478,110.00942909996957,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
What,3,c,2,2,0,0,2,2,2,110.02541790006217,,,,,110.00966480001807,110.02541790006217,112.00949780002702,112.01406479999423,112.02466810005717,116.00608770002145,116.00612400006503,116.02142480004113,152.00827470002696,152.0083278999664,152.0242639000062,160.00119630002882,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
Who,4,d,3,3,0,0,3,3,3,160.01827300002333,,,,,160.001354200067,160.01827300002333,162.0013414999703,162.00711880007293,162.0167061999673,166.0156255000038,166.0156863000011,166.03021580004133,202.01713920000475,202.01718289998826,202.0365596000338,210.01294549996965,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02775600005407,,,,,210.01325059996452,210.02775600005407,212.0114509999985,212.01976559998002,212.03272829996422,216.00696939998306,216.00702300004195,216.02448000002187,252.00986700004432,252.0099118000362,252.0264482999919,260.0028247999726,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
You,6,f,5,5,0,0,5,5,5,260.019904899993,,,,,260.0029994000215,260.019904899993,262.0010835999856,262.00778109999374,262.018209700007,266.0148130999878,266.0148720999714,266.0318816000363,302.00308589998167,302.003130099969,302.0182782000629,310.0119478000561,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0290853000479,,,,,310.0122980000451,310.0290853000479,312.01065860001836,312.0251052000094,312.0345008999575,316.0084552000044,316.00849150004797,316.0234480999643,352.0108316000551,352.01092050003354,352.02697650005575,360.0038811999839,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
When,8,h,7,7,0,0,7,7,7,360.0207127999747,,,,,360.00421939999796,360.0207127999747,362.0053020999767,362.0113846999593,362.0196603999939,366.0190181999933,366.01907649997156,366.0328237999929,402.00246170000173,402.0024972000392,402.0189082999714,410.01351259998046,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
On,9,i,8,8,0,0,8,8,8,410.0298230999615,,,,,410.01374179997947,410.0298230999615,412.011988400016,412.0240406000521,412.0307613000041,416.0078567999881,416.0079314999748,416.02484980004374,452.0152031000471,452.0153076000279,452.0290473999921,460.00492820004,123194,001,2025-03-06_18h18.03.042,data_collection,2024.2.4,60.61638378205688,2025-03-06 18h18.11.014149 +0100,
