word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,text.stopped,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.00206679999246262,0.004967699991539121,10.073388099990552,9.98972149999463,,,,,,,,,940608,001,2025-02-26_15h50.57.015,data_collection,2024.2.4,60.004092275326826,2025-02-26 15h51.03.343275 +0100,
I,1,a,0,0,0,0,0,0,0,10.073388099990552,,,,,,10.001902699994389,10.073388099990552,14.002392399997916,14.002453299995977,14.019022899999982,50.006251899991184,50.00630460001412,50.00697479999508,940608,001,2025-02-26_15h50.57.015,data_collection,2024.2.4,60.004092275326826,2025-02-26 15h51.03.343275 +0100,
