word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.004276599996956065,0.019913000011001714,10.010974300006637,,,,,,,,,,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
I,1,a,0,0,0,0,0,0,0,10.038084900006652,,,,,10.029772299996694,10.038084900006652,14.007659700000659,14.007703800001764,14.024825200001942,50.01166440000816,50.011727200006135,50.057769000006374,58.00491060000786,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
More,2,b,1,1,0,0,1,1,1,58.021633800002746,,,,,58.01132279999729,58.021633800002746,62.00187420001021,62.00193620000209,62.02093959999911,98.00537830000394,98.00541749999684,98.02185520000057,106.01545570000599,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
What,3,c,2,2,0,0,2,2,2,106.03203690001101,,,,,106.02271650001057,106.03203690001101,110.01384020000114,110.01390659999743,110.0311600999994,146.0160928999976,146.01614590000827,146.03262430000177,154.01179590000538,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Who,4,d,3,3,0,0,3,3,3,154.0257399999973,,,,,154.0150403000007,154.0257399999973,158.00607450000825,158.00610860000597,158.0225352999987,194.0097572000086,194.00979570001073,194.02620670000033,202.00318020000122,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Help,5,e,4,4,0,0,4,4,4,202.02300950000063,,,,,202.00987120000354,202.02300950000063,206.02005259999714,206.02011250000214,206.03325429999677,242.00383359999978,242.00386690000596,242.0231233000086,250.01647460000822,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
You,6,f,5,5,0,0,5,5,5,250.03037459999905,,,,,250.0225841000065,250.03037459999905,254.01073229999747,254.01078350000898,254.02943239999877,290.0164508000016,290.0164858000062,290.03315460000886,298.00768500000413,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Want,7,g,6,6,0,0,6,6,6,298.0243061000074,,,,,298.01185100000293,298.0243061000074,302.0045420000097,302.00457650001044,302.02182449999964,338.0106150000065,338.0106756000023,338.0246206000011,346.0040133000002,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
When,8,h,7,7,0,0,7,7,7,346.01834619999863,,,,,346.0113915999973,346.01834619999863,350.0149027000007,350.0149373000022,350.0337680000084,386.00230810001085,386.0023430000001,386.01927140000043,394.01455059999716,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
On,9,i,8,8,0,0,8,8,8,394.0287415000057,,,,,394.01995709999755,394.0287415000057,398.0114528999984,398.01148430000467,398.0256195999973,434.015352500006,434.01538560001063,434.02927500000806,442.0087033000018,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Stop,10,j,9,9,0,0,9,9,9,442.02276880000136,,,,,442.0126486000081,442.02276880000136,446.0029278000002,446.00296260000323,446.01941870000155,482.00664420000976,482.0067592999985,482.02310760000546,490.01691020000726,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Yes,11,k,10,10,0,0,10,10,10,490.0373382000107,,,,,490.02258489999804,490.0373382000107,494.01624450000236,494.0162905000034,494.0322154000023,530.0029860000068,530.0030209000106,530.0171123000036,538.0136287000059,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Do,12,l,11,11,0,0,11,11,11,538.0271654000098,,,,,538.0179915000044,538.0271654000098,542.0101262000098,542.0101603000076,542.0237525999983,578.011513800011,578.0115516000078,578.0306215000019,586.0045758000051,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Where,13,m,12,12,0,0,12,12,12,586.021032500008,,,,,586.0107518000004,586.021032500008,590.0012837000104,590.001313300003,590.0177649000107,626.0058989000099,626.0059746000043,626.0249785000051,634.0015695000038,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
In,14,n,13,13,0,0,13,13,13,634.0154196000076,,,,,634.0081605000014,634.0154196000076,638.0118646000046,638.0119138000009,638.0281973000092,674.0176318000013,674.0176772999985,674.0317954000056,682.0088002999983,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Give,15,o,14,14,0,0,14,14,14,682.0253828999994,,,,,682.0133601999987,682.0253828999994,686.005674,686.0057143000013,686.0222206000035,722.0127551000041,722.012796199997,722.026203100002,730.0027004000003,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
No,16,p,15,15,0,0,15,15,15,730.0192871000036,,,,,730.0066431000014,730.0192871000036,734.0160321000003,734.0160959000059,734.0341706000036,770.0032689000072,770.0033362000104,770.0229802999966,778.0132234000048,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Put,17,q,16,16,0,0,16,16,16,778.1758974999975,,,,,778.1719807000045,778.1758974999975,782.0105145999987,782.010592000006,782.0294632000005,818.0161919000093,818.0162387000018,818.030236400009,826.0072663000028,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Why,18,r,17,17,0,0,17,17,17,826.0241830000014,,,,,826.0147137000022,826.0241830000014,830.0039803999971,830.0040205999976,830.020440799999,866.0079421999981,866.0080107999966,866.024259400001,874.0009455999971,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Get,19,s,18,18,0,0,18,18,18,874.017603500004,,,,,874.0073455000093,874.017603500004,878.0144901000021,878.0145373999985,878.0333941999997,914.0018667999975,914.0018994999991,914.0182896000042,922.0139435000019,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
Come,20,t,19,19,0,0,19,19,19,922.0281743000087,,,,,922.0195337000041,922.0281743000087,926.0106471000036,926.0107410000055,926.0248114999995,962.0120599000074,962.0120943000074,962.0284258000029,970.0087169000035,680342,001,2025-02-27_17h24.58.722,data_collection,2024.2.4,59.23812660455924,2025-02-27 17h25.07.206704 +0100,
