word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0034263000125065446,0.012995400000363588,10.006842100061476,,,,,,,,,,,,,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
I,1,a,0,0,0,0,0,0,0,10.0226995999692,,,,,10.01395669998601,10.0226995999692,12.004314100020565,12.011322700069286,12.022089799982496,16.001276800059713,16.001309699960984,16.015993000008166,52.004930500057526,52.00496369996108,52.04584849998355,60.01332819997333,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
More,2,b,1,1,0,0,1,1,1,60.03063729999121,,,,,60.013493000064045,60.03063729999121,62.011663699988276,62.01753239997197,62.02826240006834,66.00822339998558,66.00826040003449,66.02471220004372,102.01209360000212,102.01213230006397,102.03070490004029,110.00555520004127,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
What,3,c,2,2,0,0,2,2,2,110.02215269999579,,,,,110.00573970004916,110.02215269999579,112.00408770004287,112.01354089996312,112.02326200006064,116.00112240004819,116.00117519998457,116.01718219998293,152.00407430005725,152.00411830004305,152.02074369997717,160.01751739997417,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
Who,4,d,3,3,0,0,3,3,3,160.03097570000682,,,,,160.01772130001336,160.03097570000682,162.01296940003522,162.01837219996378,162.03276840003673,166.00967940001283,166.00971120002214,166.02663790003862,202.015069300076,202.01510219997726,202.030123500037,210.00691410002764,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02577000006568,,,,,210.0070679000346,210.02577000006568,212.00556349998806,212.01520240004174,212.02555740007665,216.00175990001298,216.00180089997593,216.02017999999225,252.0056233999785,252.00567820004653,252.02214140002616,260.01582490000874,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
You,6,f,5,5,0,0,5,5,5,260.0322001000168,,,,,260.0160811999813,260.0322001000168,262.0141469000373,262.01969930005725,262.0307688000612,266.0107917999849,266.01082970004063,266.0276742000133,302.0145101000089,302.01454570004717,302.0329428999685,310.00793059996795,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
Want,7,g,6,6,0,0,6,6,6,310.02461770002265,,,,,310.00808870000765,310.02461770002265,312.0101945999777,312.0174762000097,312.02353100001346,316.00293049996253,316.00297260005027,316.0194627000019,352.00666730001103,352.00671640003566,352.02314990002196,360.01932960003614,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
When,8,h,7,7,0,0,7,7,7,360.033443500055,,,,,360.0196055000415,360.033443500055,362.0154279000126,362.02420940005686,362.031666600029,366.0136843000073,366.0137205000501,366.0283281999873,402.00089969998226,402.000939700054,402.01584999996703,410.00935900001787,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
On,9,i,8,8,0,0,8,8,8,410.0261711999774,,,,,410.0095005000476,410.0261711999774,412.0075458000647,412.0123156000627,412.02467050007544,416.00426189997233,416.0042972000083,416.0207188000204,452.00809100002516,452.008142100065,452.02460220002104,460.0034995999886,657453,001,2025-03-10_18h14.24.037,data_collection,2024.2.4,59.94050309205126,2025-03-10 18h14.30.006147 +0100,
