word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0032377999741584063,0.024901200085878372,10.000877300044522,,,,,,,,,,,,,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
I,1,a,0,0,0,0,0,0,0,10.01745990011841,,,,,10.007243399973959,10.01745990011841,12.016335600055754,12.023889099946246,12.077223900007084,16.01279589999467,16.012829799903557,16.029341799905524,52.01610120013356,52.016159899998456,52.0634612001013,60.010075700003654,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
More,2,b,1,1,0,0,1,1,1,60.02646790002473,,,,,60.01023819996044,60.02646790002473,62.00904030003585,62.017016700003296,62.024830100126565,66.00492760003544,66.00496029993519,66.02149969991297,102.00862600002438,102.0086755999364,102.0251865000464,110.00203080009669,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
What,3,c,2,2,0,0,2,2,2,110.01846880000085,,,,,110.00219439994544,110.01846880000085,112.00049090012908,112.00659120013006,112.01696599996649,116.0140865999274,116.01411959994584,116.03027190011926,152.0009979000315,152.00103919999674,152.0171404001303,160.01097510010004,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02752920007333,,,,,160.01111759990454,160.02752920007333,162.0093525000848,162.0155786999967,162.0260719000362,166.00610870006494,166.00615829997696,166.02261250000447,202.00999730010517,202.0100537999533,202.02627929998562,210.00319260009564,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Help,5,e,4,4,0,0,4,4,4,210.01954929996282,,,,,210.00333199999295,210.01954929996282,212.00160340010189,212.00804809993133,212.01838500006124,216.01506030000746,216.01513199997135,216.03154530003667,252.00207179994322,252.00211880006827,252.01851540012285,260.01449400000274,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
You,6,f,5,5,0,0,5,5,5,260.0287186000496,,,,,260.0146393000614,260.0287186000496,262.010913599981,262.0156384999864,262.0269383001141,266.0072560000699,266.0072914001066,266.02371530001983,302.0107881000731,302.0108209999744,302.02734409994446,310.0042789999861,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Want,7,g,6,6,0,0,6,6,6,310.02081539994106,,,,,310.00447089993395,310.02081539994106,312.00245500006713,312.01350379991345,312.01939380005933,316.0161397000775,316.0161695999559,316.03317059995607,352.0030469999183,352.00310100009665,352.0196140999906,360.0133376000449,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
When,8,h,7,7,0,0,7,7,7,360.0294637000188,,,,,360.01350539992563,360.0294637000188,362.01176339993253,362.0186461999547,362.02814080007374,366.0082761000376,366.0083224000409,366.02517809998244,402.01208840007894,402.0121154000517,402.02868460002355,410.00545850000344,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
On,9,i,8,8,0,0,8,8,8,410.02198439999484,,,,,410.00559250009246,410.02198439999484,412.00390150002204,412.0125573000405,412.0202812999487,416.0005799001083,416.0006134000141,416.01708570006303,452.0044150999747,452.00444560009055,452.02092769998126,460.0140559999272,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.03097769990563,,,,,460.0142055999022,460.03097769990563,462.0127777000889,462.0169627999421,462.02931230003014,466.0094902999699,466.00953059992753,466.02630089991726,502.013189899968,502.01322520012036,502.02983830007724,510.00652260007337,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.0233511000406,,,,,510.0067557999864,510.0233511000406,512.0050780000165,512.0118200001307,512.0214210001286,516.0016680001281,516.0016980001237,516.0183963999152,552.0055901000742,552.005642300006,552.0219415999018,560.0156036999542,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0320790999103,,,,,560.0157606001012,560.0320790999103,562.0139299000148,562.0210140999407,562.0304841999896,566.0150909000076,566.0151529000141,566.0307406999636,602.0142173001077,602.0142715999391,602.0308475000784,610.0078412001021,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0241773000453,,,,,610.0080450000241,610.0241773000453,612.0061822000425,612.0152370000724,612.0227093999274,616.006939999992,616.0069770999253,616.0232542001177,652.0092086000368,652.0092661001254,652.0229712000582,660.0169597999193,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
In,14,n,13,13,0,0,13,13,13,660.0331310001202,,,,,660.0171272999141,660.0331310001202,662.0176323000342,662.02354319999,662.0315044999588,666.0121728000231,666.0122064999305,666.0282850000076,702.0157912001014,702.0158458999358,702.0316659000237,710.008631200064,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0250266001094,,,,,710.0088367999997,710.0250266001094,712.0074001001194,712.0118527000304,712.0244231000543,716.0040784999728,716.0041406000964,716.02097650012,752.0081855999306,752.0082145000342,752.024253099924,760.0014863000251,188801,001,2025-03-17_15h31.18.830,data_collection,2024.2.4,60.076224734852715,2025-03-17 15h31.25.249975 +0100,
No,16,p,15,15,0,0,15,15,15,760.0178682999685,,,,,760.0017069000751,760.0178682999685,762.016800200101,762.0227596999612,762.0331993999425,766.0129879000597,766.0130368999671,766.0299426000565,,,,,,,,,,,,
