word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.00290969992056489,0.01070579991210252,10.002627699985169,,,,,,,,,,,,,547224,001,2025-03-06_17h16.46.689,data_collection,2024.2.4,60.02581107168569,2025-03-06 17h16.55.653984 +0100,
I,1,a,0,0,0,0,0,0,0,10.030307399923913,,,,,10.026173899997957,10.030307399923913,12.001074599917047,12.008175399969332,12.050299599999562,16.014332699938677,16.01436389994342,16.030790299992077,52.00600409996696,52.00608049996663,52.05477679998148,60.01119559991639,547224,001,2025-03-06_17h16.46.689,data_collection,2024.2.4,60.02581107168569,2025-03-06 17h16.55.653984 +0100,
More,2,b,1,1,0,0,1,1,1,60.02779520000331,,,,,60.011365299928,60.02779520000331,62.01005629997235,62.01600009994581,62.02663689991459,66.01012099999934,66.01017219992355,66.02785409998614,,,,,,,,,,,,
