word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0035106998402625322,0.022895299829542637,10.015404399950057,,,,,,,,,,,,,358032,001,2025-03-12_14h23.52.081,data_collection,2024.2.4,59.891679905652495,2025-03-12 14h24.01.510124 +0100,
I,1,a,0,0,0,0,0,0,0,10.032155900029466,,,,,10.020710699958727,10.032155900029466,12.01434769993648,12.021801800001413,12.065120799932629,16.010616999818012,16.010648199822754,16.02711239992641,52.01456179982051,52.01462799985893,52.051977099850774,60.007883599959314,358032,001,2025-03-12_14h23.52.081,data_collection,2024.2.4,59.891679905652495,2025-03-12 14h24.01.510124 +0100,
More,2,b,1,1,0,0,1,1,1,60.024407899938524,,,,,60.00802299985662,60.024407899938524,62.006251299986616,62.01272409991361,62.02280749985948,66.00310690002516,66.00315340002999,66.01957859983668,102.00681779999286,102.0068649998866,102.0232247998938,110.01684379996732,358032,001,2025-03-12_14h23.52.081,data_collection,2024.2.4,59.891679905652495,2025-03-12 14h24.01.510124 +0100,
What,3,c,2,2,0,0,2,2,2,110.03344769985415,,,,,110.01697019999847,110.03344769985415,112.01520279981196,112.02167899999768,112.03165339981206,116.01185959996656,116.01189189986326,116.02839150000364,,,,,,,,,,,,
