word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,text.stopped,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.00198830000590533,0.004743799916468561,10.004464199999347,9.988809400005266,,,,,,,,,,,,,570377,001,2025-03-05_16h21.39.133,data_collection,2024.2.4,60.10063249568648,2025-03-05 16h21.45.304526 +0100,
I,1,a,0,0,0,0,0,0,0,10.004464199999347,,,,,,9.994044499937445,10.004464199999347,12.003235999960452,12.010065899929032,12.0461815999588,16.016393100027926,16.016444799955934,16.032953399932012,52.003655900014564,52.00368690001778,52.03284060000442,60.013950099935755,570377,001,2025-03-05_16h21.39.133,data_collection,2024.2.4,60.10063249568648,2025-03-05 16h21.45.304526 +0100,
More,2,b,1,1,0,0,1,1,1,60.030319900019094,,,,,,60.014119699946605,60.030319900019094,62.012055499944836,62.018726099980995,62.02844959998038,66.00849659997039,66.00855909998063,66.02532639994752,102.01235119998455,102.01240479992703,102.0293093000073,110.00625899992883,570377,001,2025-03-05_16h21.39.133,data_collection,2024.2.4,60.10063249568648,2025-03-05 16h21.45.304526 +0100,
What,3,c,2,2,0,0,2,2,2,110.02255350002088,,,,,,110.00647090002894,110.02255350002088,,,,,,,,,,,,,,,,,,
