word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003794899908825755,0.012893199920654297,10.004354799981229,,,,,,,,,,,,,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
I,1,a,0,0,0,0,0,0,0,10.023498399998061,,,,,10.013570599956438,10.023498399998061,12.002202200004831,12.012537300004624,12.024059599963948,16.016236299998127,16.01628179999534,16.034703699988313,52.00602499989327,52.006080999970436,52.044902900001034,60.01361999998335,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
More,2,b,1,1,0,0,1,1,1,60.02999459998682,,,,,60.0137693999568,60.02999459998682,62.01157919992693,62.016862599994056,62.028185099945404,66.01025139994454,66.01028549997136,66.02506359992549,102.0123763999436,102.01241169997957,102.03067499992903,110.00589759997092,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
What,3,c,2,2,0,0,2,2,2,110.0241887999,,,,,110.00611459999345,110.0241887999,112.0044665999012,112.01067739992868,112.0201451999601,116.00061749992892,116.00065079994965,116.0191516999621,152.00433589995373,152.00438369996846,152.02314799989108,160.01679379993584,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
Who,4,d,3,3,0,0,3,3,3,160.03163179999683,,,,,160.01694279990625,160.03163179999683,162.01336699991953,162.01879629993346,162.03257379995193,166.01043999998365,166.01048349996563,166.02629289997276,202.01335849997122,202.013392199995,202.03187439998146,210.00676189991646,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02269899996463,,,,,210.00690809998196,210.02269899996463,212.0052194999298,212.0107140999753,212.02188729995396,216.0018102999311,216.00184739998076,216.0182740999153,252.00488249992486,252.00491799996234,252.02470339997672,260.01786359993275,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
You,6,f,5,5,0,0,5,5,5,260.03224289999343,,,,,260.01804389990866,260.03224289999343,262.01587109989487,262.0196292999899,262.03078339993954,266.0109947999008,266.01107519993093,266.02923379989807,302.0145378999878,302.0145778999431,302.03110569994897,310.0078810999403,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0245147999376,,,,,310.0080504999496,310.0245147999376,312.00638159993105,312.013212599908,312.0230472999392,316.00327739992645,316.00332189991605,316.0195836999919,352.0069123998983,352.0069534999784,352.024884799961,360.01691589993425,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
When,8,h,7,7,0,0,7,7,7,360.0332488999702,,,,,360.01709389989264,360.0332488999702,362.0151905999519,362.02200629992876,362.0358343999833,366.01419299992267,366.01422719995026,366.0285152998986,402.01824649993796,402.01828789990395,402.0325267999433,410.0113647999242,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
On,9,i,8,8,0,0,8,8,8,410.02581819996703,,,,,410.0116884999443,410.02581819996703,412.0079162999755,412.0123155999463,412.02454419992864,416.00435889989603,416.00439299992286,416.0209808999207,452.008099699975,452.0081342998892,452.0247838998912,460.00186349998694,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.0186695999,,,,,460.00200939993374,460.0186695999,462.0169389999937,462.0231875999598,462.03277819999494,466.0138482999755,466.0139292998938,466.0293765999377,502.0047379999887,502.00478709989693,502.0179697999265,510.01264440000523,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02728559996467,,,,,510.01284899993334,510.02728559996467,512.0122093999526,512.0191127998987,512.0274790999247,516.0079590999521,516.0079916999675,516.0220316998893,552.0092320999829,552.0092690999154,552.0258613999467,560.0026841999497,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0192912999773,,,,,560.0028414999833,560.0192912999773,562.0011769999983,562.0074071999406,562.0171904999297,566.0145633999491,566.0146030999022,566.0309933999088,602.0035312999971,602.0035686999327,602.0182375999866,610.0137679999461,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
Where,13,m,12,12,0,0,12,12,12,610.028171199956,,,,,610.013986099977,610.028171199956,612.0106336999452,612.146781599964,612.1502901999047,616.0065124999965,616.0065482999198,616.0249372998951,652.0109158999985,652.010952899931,652.0272630999098,660.0043479999295,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
In,14,n,13,13,0,0,13,13,13,660.0206963999663,,,,,660.0045222999761,660.0206963999663,662.0017925999127,662.0089597000042,662.0223960999865,666.0179798000026,666.0180264998926,666.0322406999767,702.0029558999231,702.0029982998967,702.0188613999635,710.0123486999655,367954,001,2025-03-06_17h42.43.530,data_collection,2024.2.4,None,2025-03-06 17h42.51.941280 +0100,
