word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.051090100008877926,0.0758516000059899,10.014153199997963,,,,,,,,,,067996,001,2025-02-27_13h12.37.273,data_collection,2024.2.4,None,2025-02-27 13h12.51.476495 +0100,
I,1,a,0,0,0,0,0,0,0,10.043630200001644,,,,,10.03014480001002,10.043630200001644,14.011765300005209,14.011820400002762,14.027721200007363,50.01518080000824,50.015217500011204,50.06017090000387,58.01113410000107,067996,001,2025-02-27_13h12.37.273,data_collection,2024.2.4,None,2025-02-27 13h12.51.476495 +0100,
More,2,b,1,1,0,0,1,1,1,58.03948730000411,,,,,58.03296570001112,58.03948730000411,62.00511589999951,62.005160700005945,62.0237230000057,98.0108717000112,98.01090490000206,98.02566440000373,106.00427180000406,067996,001,2025-02-27_13h12.37.273,data_collection,2024.2.4,None,2025-02-27 13h12.51.476495 +0100,
What,3,c,2,2,0,0,2,2,2,106.02671479999844,,,,,106.01702500000829,106.02671479999844,110.00139360000321,110.00142359999882,110.01540830000886,146.00267690001056,146.00272610000684,146.01898839999922,154.01270430001023,067996,001,2025-02-27_13h12.37.273,data_collection,2024.2.4,None,2025-02-27 13h12.51.476495 +0100,
Who,4,d,3,3,0,0,3,3,3,154.03221390000544,,,,,154.01620890000777,154.03221390000544,158.0093484000099,158.00937980000162,158.0263016000099,194.01543520000996,194.0154662999994,194.03166050001164,202.0081005000102,067996,001,2025-02-27_13h12.37.273,data_collection,2024.2.4,None,2025-02-27 13h12.51.476495 +0100,
Help,5,e,4,4,0,0,4,4,4,202.0234507999994,,,,,202.01439989999926,202.0234507999994,206.0031505000079,206.00318530001095,206.03847670000687,,,,,,,,,,,,
