word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.006751500011887401,0.02405810001073405,10.012744300009217,,,,,,,,,,,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
I,1,a,0,0,0,0,0,0,0,10.035390900011407,,,,,10.024523800006136,10.035390900011407,14.012759700010065,14.01280830000178,14.02559220000694,50.01250140000775,50.012533700006315,50.01303450000705,,,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
More,2,b,1,1,0,0,1,1,1,50.02958000000217,,,,,50.02149260000442,58.00582240000949,61.993020900001284,61.99306740000611,62.00757750000048,98.00933880000957,98.0093848000106,98.0098364000005,62.00757750000048,,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
What,3,c,2,2,0,0,2,2,2,98.0280039000063,,,,,98.01668580000114,106.00298600000679,109.99826760000724,109.99831600001198,110.01817560000927,146.00066990000778,146.00072130000626,146.0013128999999,110.01817560000927,,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
Who,4,d,3,3,0,0,3,3,3,146.01693770001293,,,,,146.0089944000065,154.01024460000917,157.9944758000056,157.9945151000138,158.00714300000982,193.99478800001089,193.99481960000412,193.99528140001348,158.00714300000982,194.01400400001148,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
Help,5,e,4,4,0,0,4,4,4,194.01400400001148,,,,,194.0003321000113,202.00711610000872,206.0006401000137,206.00067210000998,206.02451540000038,242.00847830000566,242.0085112000088,242.00895110001147,,,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
You,6,f,5,5,0,0,5,5,5,242.02384160000656,,,,,242.01552290000836,250.01546210001106,253.9993078000116,253.99933450001117,254.01137460001337,289.9991405000037,289.9991851000086,289.9995149000024,254.01137460001337,290.01546910000616,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
Want,7,g,6,6,0,0,6,6,6,290.01546910000616,,,,,290.0080064000067,298.00877450000553,301.9959959000116,301.99604160001036,302.0090818000026,337.9959807000123,337.99603700000443,337.9963204000087,302.0090818000026,338.0147163000074,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
When,8,h,7,7,0,0,7,7,7,338.0147163000074,,,,,338.00452210000367,346.005846,350.0032884000102,350.003323500001,350.0211543000041,386.00381580000976,386.003884500009,386.0043646000122,,,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
On,9,i,8,8,0,0,8,8,8,386.0199239000067,,,,,386.0093476000038,393.9969634000008,397.98068560000684,397.9807123000064,398.00995970000804,433.9975040999998,433.9975354000053,433.9979110000131,397.99316660000477,434.017591300013,178663,001,2025-02-27_12h59.52.608,data_collection,2024.2.4,None,2025-02-27 12h59.59.734614 +0100,
Stop,10,j,9,9,0,0,9,9,9,434.017591300013,,,,,434.00113090001105,,,,,,,,,,,,,,,,,
