word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Stop,10,j,9,9,0,0,9,9,9,460.0184516001027,,,,,460.0020488000009,460.0184516001027,462.00289399991743,462.0098659999203,462.0167835999746,466.00031040003523,466.0003426000476,466.0135973999277,502.00070370011963,502.0007398999296,502.0172594001051,510.01072070002556,466.0135973999277,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02826489997096,,,,,510.01088829990476,510.02826489997096,512.0090463000815,512.0147176000755,512.0256902999245,516.00866209995,516.0086986001115,516.0224989000708,552.0126404999755,552.0126773999073,552.0260948000941,560.0030398999806,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0195997999981,,,,,560.0033144000918,560.0195997999981,562.0047995999921,562.0098486000206,562.0179381999187,566.0010168999434,566.0010506999679,566.0146669999231,602.0048436999787,602.0048869999591,602.0189668000676,610.0147891000379,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0285412000958,,,,,610.0149789999705,610.0285412000958,612.0101640000939,612.0162565000355,612.0280593999196,616.0069957999513,616.0070551999379,616.0255283000879,652.0137458001263,652.0137871000916,652.0275043000001,660.0070023001172,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
In,14,n,13,13,0,0,13,13,13,660.0207293001004,,,,,660.0071723000146,660.0207293001004,662.0027089999057,662.0072842999361,662.019021099899,666.016146000009,666.0161818000488,666.0351394000463,702.0029074000195,702.0029438999481,702.0194337998983,710.0136371001136,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0323731000535,,,,,710.013802899979,710.0323731000535,712.0115606000181,712.0170923001133,712.0323652999941,716.0081148999743,716.0081486001145,716.0250234999694,752.0117860001046,752.0118257000577,752.031149999937,760.0052895999979,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
No,16,p,15,15,0,0,15,15,15,760.0224848000798,,,,,760.0054554999806,760.0224848000798,762.0065866999794,762.1306096999906,762.1347272000276,766.0170905999839,766.0171252998989,766.0361641999334,802.0047720000148,802.0048181999009,802.0234968999866,810.0141753999051,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Put,17,q,16,16,0,0,16,16,16,810.0307656000368,,,,,810.0143820000812,810.0307656000368,812.0125883999281,812.0187309000175,812.0291913000401,816.0096658000257,816.0097318000626,816.0257657000329,852.0130253001116,852.0130612999201,852.0331127999816,860.0063732000999,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Why,18,r,17,17,0,0,17,17,17,860.0229913999792,,,,,860.0065258999821,860.0229913999792,862.004857199965,862.0103853000328,862.0213975000661,866.0016405999195,866.0016938999761,866.0205896000843,902.0052628000267,902.0053026999813,902.0238055000082,910.0181418999564,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Get,19,s,18,18,0,0,18,18,18,910.0347881999332,,,,,910.0183210999239,910.0347881999332,912.0170708999503,912.0218758999836,912.0303170001134,916.0115189999342,916.0115741000045,916.0299150000792,952.0141493000556,952.0141879001167,952.0306001000572,960.0076963000465,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Come,20,t,19,19,0,0,19,19,19,960.0243720998988,,,,,960.0078829999547,960.0243720998988,962.0059251999483,962.0107118000742,962.0225704999175,966.0026895001065,966.0027322000824,966.0192207000218,1002.0094165001065,1002.0094618001021,1002.0231427999679,1010.0166372999083,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
