word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0032568000024184585,0.022146599949337542,10.015877499943599,,,,,,,,,,,,,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
I,1,a,0,0,0,0,0,0,0,10.032212599995546,,,,,10.022711399942636,10.032212599995546,12.013970499974675,12.021362299914472,12.031173900002614,16.011720299953595,16.011771799996495,16.027392799966037,52.014712999924086,52.01474829996005,52.04866859992035,60.007654599961825,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
More,2,b,1,1,0,0,1,1,1,60.024475599988364,,,,,60.00780279992614,60.024475599988364,62.0064150999533,62.01214339991566,62.022873399895616,66.00302439997904,66.00305259996094,66.01953569997568,102.00652409996837,102.00655930000357,102.02279139996972,110.00046559993643,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
What,3,c,2,2,0,0,2,2,2,110.01644059992395,,,,,110.0006405999884,110.01644059992395,112.01504579989705,112.02325009997003,112.03179699997418,116.01185889996123,116.01191629993264,116.02833329990972,152.0155628999928,152.01560109993443,152.0321148999501,160.00889870000537,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02589109994005,,,,,160.00909770000726,160.02589109994005,162.00758239999413,162.01228789996821,162.02407879999373,166.004219800001,166.00424899999052,166.02071139996406,202.00813929992728,202.00817169994116,202.02439799997956,210.00138579995837,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
Help,5,e,4,4,0,0,4,4,4,210.0180269998964,,,,,210.0015768999001,210.0180269998964,212.01652209996246,212.02382939995732,212.0329973999178,216.0132058999734,216.0132556000026,216.02976720000152,252.01698399998713,252.01701710000634,252.0331717999652,260.01033029996324,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
You,6,f,5,5,0,0,5,5,5,260.0265217999695,,,,,260.0104980999604,260.0265217999695,262.0087190999184,262.016240799916,262.02525029995013,266.00512109999545,266.0051501999842,266.0219037999632,302.0094203999033,302.0094950000057,302.02569269994274,310.0029308999656,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
Want,7,g,6,6,0,0,6,6,6,310.01903979992494,,,,,310.00313409999944,310.01903979992494,312.00091499998234,312.0085065999301,312.01765950000845,316.0140809000004,316.0141535999719,316.0309666999383,352.0016549999127,352.0016938999761,352.0176569999894,360.0115724999923,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
When,8,h,7,7,0,0,7,7,7,360.027990099974,,,,,360.0117844999768,360.027990099974,362.00984849990346,362.0198480999097,362.0265708999941,366.0066228999058,366.00667029991746,366.0239881000016,402.0104183999356,402.01044589991216,402.02673039992806,410.0041785999201,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
On,9,i,8,8,0,0,8,8,8,410.0199715999188,,,,,410.00442609994207,410.0199715999188,412.0023139999248,412.01324739994016,412.0196271999739,416.000878599938,416.00092759996187,416.01510540000163,452.00269839994144,452.0027333999751,452.01911039999686,460.013016999932,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.02918779989704,,,,,460.01320059993304,460.02918779989704,462.0110464999452,462.0197356999852,462.02783749997616,466.00777639995795,466.0078209999483,466.0243064999813,502.01167639996856,502.01170619996265,502.0281403999543,510.00508999999147,394241,001,2025-03-10_18h04.15.689,data_collection,2024.2.4,59.93554531220059,2025-03-10 18h04.21.361835 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02136259991676,,,,,510.0052202999359,510.02136259991676,512.0032801999478,512.0132960999617,512.020233899937,516.0168587999651,516.0168904999737,516.0334525000071,,,,,,,,,,,,
