word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,fixationCross_2.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003863399848341942,0.02291419985704124,10.013866599882022,,,,,,,,,,,,,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
I,1,a,0,0,0,0,0,0,0,10.028109099948779,,,,,10.020315799862146,10.028109099948779,12.009819199796766,12.01902909995988,12.033721799962223,16.006555799860507,16.00660409987904,16.02312309993431,52.01018959982321,52.01025489997119,52.0654160999693,60.003587499959394,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
More,2,b,1,1,0,0,1,1,1,60.02304259990342,,,,,60.00377869978547,60.02304259990342,62.001908799866214,62.00814779987559,62.01862859982066,66.01537699997425,66.01541220000945,66.03191869985312,102.00233789999038,102.0023752998095,102.01884979987517,110.01527499989606,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
What,3,c,2,2,0,0,2,2,2,110.03141939989291,,,,,110.01558829983696,110.03141939989291,112.01103279995732,112.01728039979935,112.02764719980769,116.00755999982357,116.00759559986182,116.0245318999514,152.01424949988723,152.01429059985094,152.02805729978718,160.00511089991778,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02386079984717,,,,,160.0053301998414,160.02386079984717,162.0030684999656,162.009265499888,162.01990079996176,166.0164168998599,166.01645589992404,166.0337008999195,202.00371209997684,202.00375629984774,202.02410149993375,210.00134319998324,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Help,5,e,4,4,0,0,4,4,4,210.01396139990538,,,,,210.00160029996186,210.01396139990538,211.99864789983258,212.00479179993272,212.01221969979815,215.99534609983675,215.99538099998608,216.00860509998165,251.9964544000104,251.99649209994823,252.01543029979803,260.0083472998813,212.01221969979815,216.00860509998165,252.01543029979803,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
You,6,f,5,5,0,0,5,5,5,260.02285079983994,,,,,260.0085057998076,260.02285079983994,262.0043657999486,262.0130950999446,262.0218521999195,266.0013766998891,266.00141759985127,266.0200602998957,302.0047977999784,302.00483829993755,302.02435919991694,310.0170114999637,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0312990997918,,,,,310.0172282999847,310.0312990997918,312.01319879991934,312.019690599991,312.0299188999925,316.0098902999889,316.00992659991607,316.0262779998593,352.0140867999289,352.0141307997983,352.0326129999012,360.00775279989466,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
When,8,h,7,7,0,0,7,7,7,360.0277094999328,,,,,360.00791269983165,360.0277094999328,362.0078186998144,362.01440059999004,362.02205369994044,366.00455369986594,366.00459479982965,366.0186563997995,402.00592339993455,402.0059663997963,402.0252884000074,410.01636839983985,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
On,9,i,8,8,0,0,8,8,8,410.03555829986,,,,,410.0166156999767,410.03555829986,412.00083629996516,412.00586829986423,412.0143465998117,416.01385739981197,416.01389239984564,416.0276637999341,452.01477049989626,452.01480459980667,452.03185129980557,460.00808919989504,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.0277139998507,,,,,460.00843949988484,460.0277139998507,462.00670159980655,462.0141723998822,462.02683589980006,466.00344759994186,466.00348929991014,466.02380339987576,502.0097507999744,502.0097949998453,502.0235644998029,510.0013605998829,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.0197148998268,,,,,510.0015882998705,510.0197148998268,512.0015839999542,512.1274321000092,512.1336984999944,516.0127473999746,516.012781499885,516.0291791998316,552.0162752999458,552.0163076999597,552.0355318998918,560.0096823999193,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0287903998978,,,,,560.0098226999398,560.0287903998978,562.0076668998227,562.0117048998363,562.0283772998955,566.0047571999021,566.0048163998872,566.0244413998444,602.0110623999499,602.0111682999413,602.0251237999182,610.0044317999855,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0182570999023,,,,,610.0047463998199,610.0182570999023,612.0027645998634,612.0074028999079,612.0207995998207,616.0163495999295,616.0164010999724,616.0298586999997,652.0052397998516,652.0052812998183,652.0170613999944,660.010479999939,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
In,14,n,13,13,0,0,13,13,13,660.0270618998911,,,,,660.0106561998837,660.0270618998911,662.0091316998005,662.0141435000114,662.0257874999661,666.005510199815,666.0055519000161,666.0221213998739,702.009255199926,702.0092897999566,702.0302154999226,710.0026797999162,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0215091998689,,,,,710.0028632998001,710.0215091998689,712.0012166998349,712.0064691998996,712.0180651999544,716.0144640998915,716.014503599843,716.0348163999151,752.0020910999738,752.0021303999238,752.0205865998287,760.014366599964,,,,185539,001,2025-03-13_17h24.31.219,data_collection,2024.2.4,None,2025-03-13 17h24.43.413554 +0100,
