word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.002963099999988117,0.01777839999999742,10.009141,,,,,,,,,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
I,1,a,0,0,0,0,0,0,0,10.03419699999995,,,,,10.022205600000007,10.03419699999995,14.0058254999999,14.00586519999979,14.022503999999799,50.01217529999985,50.01221199999986,50.01268779999987,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
More,2,b,1,1,0,0,1,1,1,50.025788999999804,,,,,50.01837339999997,60.00423000000001,63.998504799999864,63.99854299999993,64.0157044,100.00146059999997,100.0015070999998,100.00199039999984,64.0157044,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
What,3,c,2,2,0,0,2,2,2,100.01796769999987,,,,,100.00691889999985,110.0100829999999,114.00678419999986,114.00681999999983,114.02583099999993,150.01092459999995,150.01096529999995,150.01138519999995,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Who,4,d,3,3,0,0,3,3,3,150.029724,,,,,150.0205309999999,160.0046324,164.0018895999999,164.00196099999994,164.01572149999993,200.00318019999986,200.00321799999983,200.00365809999994,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Help,5,e,4,4,0,0,4,4,4,200.0195182,,,,,200.00739239999984,210.0110307,213.99474499999997,213.99478009999984,214.0104171999999,249.99989379999988,249.99994619999984,250.00044939999998,214.0104171999999,250.0160351999998,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
You,6,f,5,5,0,0,5,5,5,250.0160351999998,,,,,250.00538189999997,260.0066900999998,264.00307939999993,264.003115,264.02019129999985,300.0069944999998,300.0070386,300.00764979999985,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Want,7,g,6,6,0,0,6,6,6,300.02463279999984,,,,,300.0146371999999,309.9983474999999,313.9954224999999,313.99547699999994,314.0124801999998,349.9995715,349.99961699999994,349.99999179999986,314.0124801999998,350.0166433999998,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
When,8,h,7,7,0,0,7,7,7,350.0166433999998,,,,,350.00582699999995,360.0082677999999,364.00633019999987,364.0064107999997,364.0215797000001,400.0088373999997,400.00887250000005,400.00926630000004,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
On,9,i,8,8,0,0,8,8,8,400.02457589999995,,,,,400.0150874000001,410.003561,413.99805349999997,413.9980953999998,414.01290199999994,450.0015347999997,450.0015854999997,450.00210049999987,414.01290199999994,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Stop,10,j,9,9,0,0,9,9,9,450.0169477999998,,,,,450.0085446999997,460.0089929999999,464.00584579999986,464.0058948000001,464.0222525999998,500.00898359999974,500.0090203,500.00944919999984,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Yes,11,k,10,10,0,0,10,10,10,500.02626789999977,,,,,500.01366499999995,510.00123189999977,513.9982685,513.9983125999997,514.0172520000001,550.0014825999997,550.0015284000001,550.0021029999998,514.0172520000001,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Do,12,l,11,11,0,0,11,11,11,550.0193541999997,,,,,550.0117086,560.0101147,564.0080084000001,564.0080463999998,564.0236918,600.0108608999999,600.0109008999998,600.0113818,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Where,13,m,12,12,0,0,12,12,12,600.0266400999999,,,,,600.0151788999997,610.0031607999999,614.0005867,614.0006417,614.0156060999998,650.0045532999998,650.0045909,650.0050631999998,614.0156060999998,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
In,14,n,13,13,0,0,13,13,13,650.0189292999999,,,,,650.0109469999998,660.0108089,664.0077630000001,664.0078107999998,664.0253094999998,700.0114853,700.0115230000001,700.0120907,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Give,15,o,14,14,0,0,14,14,14,700.0296284000001,,,,,700.0190874999998,710.0029661999997,714.0002454999999,714.0002897999998,714.0178953999998,750.0036098999999,750.0036557999997,750.0041492999999,714.0178953999998,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
No,16,p,15,15,0,0,15,15,15,750.0214381999999,,,,,750.0083565,760.0130022999997,764.0101596,764.0102048999997,764.0253293999999,800.0142943000001,800.0143478999998,800.0148742000001,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Put,17,q,16,16,0,0,16,16,16,800.0303590999997,,,,,800.0247684999999,810.0051752999998,814.0024358999999,814.0024736999999,814.0174606,850.0054028,850.0054371000001,850.0058673999997,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
Why,18,r,17,17,0,0,17,17,17,850.0212747999999,,,,,850.0121057000001,860.0136720999999,864.0107697999997,864.0108160999998,864.0278263,900.0143250000001,900.0143721,900.0148417,,,021984,001,2025-02-26_18h44.03.858,data_collection,2024.2.4,60.247133742577134,2025-02-26 18h44.12.849041 +0100,
