word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0031798999989405274,0.014495200011879206,10.006611400051042,,,,,,,,,,,,,023154,001,2025-03-06_18h08.10.634,data_collection,2024.2.4,60.02404563409564,2025-03-06 18h08.17.002970 +0100,
I,1,a,0,0,0,0,0,0,0,10.023248800076544,,,,,10.012438000063412,10.023248800076544,12.004961100057699,12.009909600019455,12.021704800077714,16.00150640006177,16.001551800058223,16.018562200013548,52.00558620004449,52.00561380002182,52.04318330006208,60.01589989999775,023154,001,2025-03-06_18h08.10.634,data_collection,2024.2.4,60.02404563409564,2025-03-06 18h08.17.002970 +0100,
More,2,b,1,1,0,0,1,1,1,60.032241200096905,,,,,60.01607120002154,60.032241200096905,62.0137751000002,62.01970850001089,62.03077700000722,,,,,,,,,,,,,,,
