word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,fixationCross_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0035321000032126904,0.022133699851110578,10.01699239993468,,,,,,,,,,,,,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
I,1,a,0,0,0,0,0,0,0,10.031396799953654,,,,,10.024329799925908,10.031396799953654,12.013221699977294,12.023257599910721,12.037171500036493,16.00985089992173,16.00990800000727,16.02687279996462,52.01599480002187,52.01602669991553,52.0590649000369,60.00947869988158,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
More,2,b,1,1,0,0,1,1,1,60.0235939999111,,,,,60.009656799957156,60.0235939999111,62.00763739994727,62.015997499926016,62.022160299820825,66.00222309981473,66.00225999997929,66.01879170001484,102.00600039982237,102.00603659986518,102.02260249992833,110.00170609983616,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
What,3,c,2,2,0,0,2,2,2,110.01599999982864,,,,,110.00186339998618,110.01599999982864,112.01411049999297,112.01769010000862,112.03075279993936,116.01097219996154,116.01100820000283,116.02779229986481,152.01508619985543,152.01513059996068,152.03373769996688,160.00825860002078,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02477549994364,,,,,160.0084235998802,160.02477549994364,162.00884149991907,162.01598699996248,162.02382280002348,166.00386469997466,166.0039007999003,166.02235769992694,202.0091905000154,202.00922339991666,202.02348029986024,210.00303599983454,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Help,5,e,4,4,0,0,4,4,4,210.01693979999982,,,,,210.0031770998612,210.01693979999982,212.00120609998703,212.0065216999501,212.01538629992865,216.01449969992973,216.01453849999234,216.0286528998986,252.01583229983225,252.0158973999787,252.03285939991474,260.00925090000965,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
You,6,f,5,5,0,0,5,5,5,260.0258275999222,,,,,260.0094778998755,260.0258275999222,262.00761549989693,262.01299409987405,262.02458709990606,266.0042816000059,266.00431409990415,266.0233159000054,302.0111324999016,302.0111658000387,302.0244916998781,310.00410679983906,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0179055999033,,,,,310.0042836999055,310.0179055999033,312.01650999998674,312.0227867998183,312.03596999985166,316.0168039998971,316.0168570999522,316.03000919986516,352.0172496000305,352.01729290001094,352.03596440004185,360.01071109995246,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
When,8,h,7,7,0,0,7,7,7,360.0295080000069,,,,,360.0109210999217,360.0295080000069,362.0119515999686,362.02253929991275,362.02780619985424,366.0056402999908,366.0057011998724,366.02245289995335,402.0093855999876,402.0094248999376,402.02818159991875,410.00318779982626,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
On,9,i,8,8,0,0,8,8,8,410.0230600000359,,,,,410.00338070001453,410.0230600000359,412.0037436999846,412.0113484999165,412.01866069994867,416.01675289985724,416.0167910999153,416.03106439998373,452.00153000000864,452.00162389990874,452.0178781999275,460.011748699937,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.0280742999166,,,,,460.01194170000963,460.0280742999166,462.0099541998934,462.0142614999786,462.02659479994327,466.006580399815,466.00661369995214,466.0231690998189,502.0115465000272,502.0115843999665,502.029205000028,510.0052093998529,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02275069989264,,,,,510.00538959982805,510.02275069989264,512.0040296998341,512.0127242999151,512.02201649989,516.015751299914,516.0157921998762,516.0343573000282,552.0051977999974,552.0052332999185,552.0191434998997,560.0150039000437,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0292908998672,,,,,560.0152096999809,560.0292908998672,562.0111666000448,562.13315709983,562.1373389998917,566.0078332999256,566.007867799839,566.0242482000031,602.0145851999987,602.0146276999731,602.0282475999556,610.0049365998711,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Where,13,m,12,12,0,0,12,12,12,610.021577199921,,,,,610.005107200006,610.021577199921,612.0035991999321,612.010107500013,612.0236970998812,616.0009840999264,616.0010185998399,616.0212411999237,652.0081211000215,652.0081535999198,652.0231255998369,660.0014748999383,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
In,14,n,13,13,0,0,13,13,13,660.0163085998502,,,,,660.0016123999376,660.0163085998502,662.0124081999529,662.0166817998979,662.028964499943,666.009168599965,666.0092386999168,666.025538199814,702.0161291998811,702.0162130999379,702.0296002000105,710.006671999814,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0230951998383,,,,,710.0070134999696,710.0230951998383,712.0048602998722,712.0090294999536,712.021490199957,716.0013387999497,716.0013840999454,716.0181700999383,752.0073593999259,752.0074012998957,752.0214998999145,760.000927799847,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
No,16,p,15,15,0,0,15,15,15,760.014869599836,,,,,760.0010965999682,760.014869599836,761.9988946998492,762.0050562999677,762.0134391000029,766.0125323999673,766.0125694999006,766.0267059998587,802.0140831000172,802.0141236998606,802.0304232998751,810.0074771000072,762.0134391000029,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Put,17,q,16,16,0,0,16,16,16,810.0261403999757,,,,,810.0076500999276,810.0261403999757,812.0061875998508,812.0138262999244,812.0247615999542,816.0025229000021,816.0025583000388,816.0188205998857,852.0061367999297,852.0061943999026,852.0233687998261,860.0194076998159,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Why,18,r,17,17,0,0,17,17,17,860.0358990998939,,,,,860.019580299966,860.0358990998939,862.0177192999981,862.02170199994,862.0313728998881,866.014797099866,866.0148529999424,866.0283347000368,902.0006645999383,902.0006965999492,902.014870399842,910.0083761999849,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Get,19,s,18,18,0,0,18,18,18,910.0249635998625,,,,,910.0085396999493,910.0249635998625,912.0093622999266,912.0134431999177,912.0258887000382,916.0063402999658,916.0063926998992,916.0199412999209,952.0072941000108,952.0073309999425,952.0261814999394,960.0008044999558,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
Come,20,t,19,19,0,0,19,19,19,960.0196086999495,,,,,960.0010063999798,960.0196086999495,962.0163167999126,962.0213474000338,962.0355248998385,966.0124877998605,966.0125535998959,966.0317305999342,1002.0018471998628,1002.0018863000441,1002.0165434000082,1010.0096636000089,,068973,001,2025-03-14_09h28.08.450,data_collection,2024.2.4,None,2025-03-14 09h28.15.913707 +0100,
